Branch_name,Vehicle_Make,Year_Manufacture,Loan_Tenure,Interest_Rate,Annual_Income,Loan_Amount
KEPONG INDUSTRIAL PARK,MAZDA,2019,84,0.0392," Above RM120,000    ",120000
LUKUT,TOYOTA,2019,84,0.0409, Undisclosed        ,40000
JELUTONG,HONDA,2019,60,0.039," RM24,001 - RM48,000",50000
KUANTAN BRANCH,PERODUA,2019,84,0.0459," RM12,001 - RM18,000",34000
SUBANG JAYA BRANCH,VOLVO,2019,84,0.0389," RM48,001 - RM72,000",200000
"JALAN KAPAR, KLANG          ",HONDA,2019,54,0.0398," Above RM120,000    ",60000
BATU PAHAT BRANCH,PROTON,2019,108,0.0495," RM24,001 - RM48,000",37700
"JLN SULTAN IDRIS SHAH, IPOH BRANCH",PERODUA,2019,108,0.0472," RM18,001 - RM24,000",30600
"MENJALARA, KUALA LUMPUR",PERODUA,2019,108,0.0459," RM24,001 - RM48,000",41580
KOTA KINABALU API API,PERODUA,2019,108,0.048," RM72,001 - RM96,000",47600
"KAMUNTING, PERAK            ",PERODUA,2019,108,0.0488," RM18,001 - RM24,000",46700
KOTA KENMUNING,KIA,2019,108,0.0398," Above RM120,000    ",155000
KOTA KINABALU API API,MITSUBISHI,2019,108,0.0392," RM24,001 - RM48,000",101000
BAHAU BRANCH,PROTON,2019,108,0.048," RM18,001 - RM24,000",34900
KUANTAN BRANCH,PROTON,2019,84,0.0468," RM24,001 - RM48,000",64400
"TMN KULAI UTAMA, JB ",HONDA,2019,108,0.0409, Undisclosed        ,75000
"JLN SULTAN IDRIS SHAH, IPOH BRANCH",PERODUA,2019,108,0.051," RM24,001 - RM48,000",22000
"JALAN BESERAH, KUANTAN   ",PROTON,2018,108,0.049," RM24,001 - RM48,000",34500
SS2 PJ,MAZDA,2018,108,0.0406," RM48,001 - RM72,000",106000
KLUANG BRANCH,PERODUA,2019,84,0.0474, Undisclosed        ,37200
KUCHING RH PLAZA,HONDA,2019,84,0.0388," RM72,001 - RM96,000",110000
SEVENTH MILE BAZAAR BRANCH,HONDA,2019,84,0.0395," RM96,001 - RM120,000",72000
TAMAN SRI TEBRAU,PROTON,2019,108,0.0492," RM12,001 - RM18,000",36500
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0498," RM24,001 - RM48,000",24000
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0487," RM48,001 - RM72,000",46700
TAMAN SRI TEBRAU,HYUNDAI,2019,108,0.0398," RM48,001 - RM72,000",135000
"JALAN GENUANG, SEGAMAT   ",PROTON,2019,108,0.0481," RM18,001 - RM24,000",34600
BANDAR SUNWAY BRANCH,PERODUA,2019,108,0.0487," RM18,001 - RM24,000",34900
MELAKA TMR1,MITSUBISHI,2019,72,0.0382," RM72,001 - RM96,000",125700
SENAWANG,TOYOTA,2019,60,0.04," RM72,001 - RM96,000",50000
TAMAN SRI TEBRAU,TOYOTA,2019,108,0.0397," Above RM120,000    ",180600
BINTULU BRANCH,PERODUA,2019,84,0.0413," RM48,001 - RM72,000",71800
KULAI BRANCH,PERODUA,2019,108,0.0461," RM24,001 - RM48,000",40400
BIDOR BRANCH,PERODUA,2019,108,0.047," Above RM120,000    ",30000
KOTA KINABALU API API,PERODUA,2019,108,0.0486," RM24,001 - RM48,000",46900
JELUTONG,MAZDA,2018,60,0.0387," RM96,001 - RM120,000",133000
BUKIT BINTANG,MERCEDES BENZ,2019,108,0.0387," Above RM120,000    ",247000
PUCHONG JAYA,HONDA,2019,108,0.0399," RM24,001 - RM48,000",65000
TAMAN SRI TEBRAU,HONDA,2019,108,0.0403," RM24,001 - RM48,000",74300
PETALING JAYA NEW TOWN,TOYOTA,2019,108,0.0392," RM72,001 - RM96,000",75000
TAMAN SRI TEBRAU,PERODUA,2019,60,0.0497," Above RM120,000    ",20000
BANDAR SRI PERMAISURI BRANCH,TOYOTA,2019,108,0.0392," RM24,001 - RM48,000",71000
SEREMBAN 2,ISUZU,2019,36,0.0406," RM24,001 - RM48,000",50000
TAMAN SRI TEBRAU,HONDA,2019,108,0.0401," RM24,001 - RM48,000",73700
YONG PENG BRANCH,PROTON,2019,36,0.0419," RM24,001 - RM48,000",50000
"JLN SULTAN IDRIS SHAH, IPOH BRANCH",PERODUA,2019,108,0.049," RM72,001 - RM96,000",30000
TAMAN MIDAH,PERODUA,2018,108,0.0475," RM24,001 - RM48,000",43000
SEREMBAN 2,TOYOTA,2019,60,0.0392, Undisclosed        ,89000
SEREMBAN 2,HYUNDAI,2019,108,0.0392," Above RM120,000    ",142000
KUCHING RH PLAZA,PERODUA,2019,108,0.0487," RM24,001 - RM48,000",46100
PARIT BUNTAR BRANCH,TOYOTA,2018,84,0.04," RM24,001 - RM48,000",85000
"JLN SULTAN IDRIS SHAH, IPOH BRANCH",MAZDA,2019,108,0.0398," RM24,001 - RM48,000",134000
TAMAN MIDAH,HONDA,2019,108,0.0393," RM24,001 - RM48,000",66800
KUCHING RH PLAZA,KIA,2019,108,0.0401," RM18,001 - RM24,000",91500
BANTING BRANCH,TOYOTA,2019,24,0.0453," Above RM120,000    ",40000
"TAMAN CHAI LENG, PRAI BRANCH",PERODUA,2019,60,0.044," Above RM120,000    ",45000
KOTA KINABALU API API,PROTON,2019,108,0.0492," RM18,001 - RM24,000",35600
SEREMBAN 2,HONDA,2019,108,0.0388," RM48,001 - RM72,000",110000
BATU PAHAT BRANCH,PERODUA,2019,84,0.0446," Above RM120,000    ",50400
BATU PAHAT BRANCH,PERODUA,2019,108,0.0455," RM18,001 - RM24,000",50000
MELAKA TMR1,PERODUA,2019,108,0.0505," RM24,001 - RM48,000",21700
BIDOR BRANCH,PERODUA,2019,60,0.0474," Above RM120,000    ",30000
PUCHONG JAYA,PROTON,2019,60,0.0393," RM48,001 - RM72,000",70000
BAHAU BRANCH,PERODUA,2019,108,0.0483," RM24,001 - RM48,000",50200
KROKOP ,PROTON,2019,84,0.0467," RM24,001 - RM48,000",29200
LUKUT,TOYOTA,2019,108,0.0403," RM96,001 - RM120,000",79900
KUALA TERENGGANU (2),PERODUA,2019,108,0.0498," RM24,001 - RM48,000",40000
MELAKA TMR1,PERODUA,2019,108,0.0468," RM24,001 - RM48,000",36400
KUCHING RH PLAZA,NISSAN,2019,108,0.0387," RM24,001 - RM48,000",132600
KOTA KINABALU API API,PERODUA,2019,48,0.0479," RM18,001 - RM24,000",29000
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0463," RM24,001 - RM48,000",41000
KL MAIN (EON BUILDING),PERODUA,2019,108,0.047," RM72,001 - RM96,000",34900
PANDAN PERDANA BRANCH,PERODUA,2019,84,0.0456," RM72,001 - RM96,000",38900
BANDAR SRI PERMAISURI BRANCH,RENAULT,2019,108,0.0389," RM72,001 - RM96,000",97000
JALAN KENANGA BRANCH,PERODUA,2019,84,0.0408," RM72,001 - RM96,000",64000
BATU PAHAT BRANCH,PERODUA,2019,108,0.0487," RM18,001 - RM24,000",44500
KEMAMAN BRANCH,PERODUA,2019,108,0.0472," RM24,001 - RM48,000",34500
BATU PAHAT BRANCH,PERODUA,2019,84,0.0466, Undisclosed        ,45000
TAMAN SRI TEBRAU,PROTON,2019,108,0.048," RM48,001 - RM72,000",36000
BATU PAHAT BRANCH,PERODUA,2019,108,0.0505, Undisclosed        ,23000
SETAPAK BRANCH,PROTON,2019,108,0.0404," RM48,001 - RM72,000",90500
KOTA KINABALU API API,PERODUA,2019,108,0.049," RM48,001 - RM72,000",39400
MELAKA TMR1,PERODUA,2019,84,0.0465," RM96,001 - RM120,000",49000
KL MAIN (EON BUILDING),HONDA,2019,108,0.0405, Undisclosed        ,85000
KOTA KINABALU API API,PERODUA,2019,108,0.049," RM12,001 - RM18,000",39200
"PUSAT DAGANGAN BAKRI,MUAR",PROTON,2019,36,0.0485," RM48,001 - RM72,000",30000
SS2 PJ,VOLKSWAGEN,2019,84,0.0384," Above RM120,000    ",183000
PUCHONG JAYA,HONDA,2019,108,0.0395," RM48,001 - RM72,000",75800
"T.NIAGA JAYA,BKT MERTAJAM   ",PROTON,2019,60,0.042," RM72,001 - RM96,000",50000
KOTA BHARU 1,FORD,2018,108,0.0409," RM48,001 - RM72,000",98000
KOTA KINABALU API API,TOYOTA,2019,108,0.0391," RM18,001 - RM24,000",83700
TAMAN MALURI BRANCH,PROTON,2019,108,0.0475," RM48,001 - RM72,000",46000
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0465," RM24,001 - RM48,000",35800
BINTULU BRANCH,PERODUA,2019,108,0.0464," RM72,001 - RM96,000",51800
BATU PAHAT BRANCH,TOYOTA,2019,72,0.0394," RM96,001 - RM120,000",100000
JELUTONG,PROTON,2019,108,0.0479," RM18,001 - RM24,000",34000
PUCHONG JAYA,PROTON,2019,108,0.0482," RM24,001 - RM48,000",46000
TAMAN SRI TEBRAU,TOYOTA,2019,24,0.0422," Above RM120,000    ",62000
PUCHONG JAYA,PERODUA,2019,60,0.046," RM24,001 - RM48,000",30000
"JLN RASAH, SEREMBAN BRANCH",PERODUA,2019,108,0.0483," RM48,001 - RM72,000",50400
SIBU,PROTON,2019,60,0.0391," RM48,001 - RM72,000",90000
"PUSAT DAGANGAN BAKRI,MUAR",HONDA,2019,108,0.0399," RM24,001 - RM48,000",80000
"TAMAN SRI SINAR, SEGAMBUT BRANCH",MAZDA,2019,108,0.0385," Above RM120,000    ",140000
PETALING JAYA BRANCH,KIA,2019,60,0.0397," Above RM120,000    ",88000
BANDAR SRI AMAN,PERODUA,2019,108,0.0487," RM18,001 - RM24,000",39000
KUCHING RH PLAZA,PERODUA,2019,108,0.0419," RM24,001 - RM48,000",73600
TAMAN MIDAH,PERODUA,2019,60,0.0478, Undisclosed        ,33300
JALAN IPOH BRANCH,HONDA,2018,108,0.0404," RM72,001 - RM96,000",138900
TAMPOI,HONDA,2019,60,0.0403," Above RM120,000    ",64000
TAMAN MIDAH,PROTON,2019,36,0.0447," Above RM120,000    ",60000
KUANTAN BRANCH,PROTON,2018,108,0.049," RM24,001 - RM48,000",45200
KOTA KINABALU API API,PROTON,2019,108,0.049," RM24,001 - RM48,000",36500
"JALAN KAPAR, KLANG          ",TOYOTA,2019,60,0.0382," Above RM120,000    ",153000
PUCHONG JAYA,BMW,2019,108,0.0389," Above RM120,000    ",207000
MENTAKAB BRANCH,MITSUBISHI,2019,108,0.0387," RM48,001 - RM72,000",127800
PUCHONG BRANCH,PERODUA,2019,60,0.0502," RM24,001 - RM48,000",23500
SS2 PJ,VOLKSWAGEN,2018,84,0.0391," Above RM120,000    ",140000
"TAMAN SRI SINAR, SEGAMBUT BRANCH",NISSAN,2018,84,0.0407," RM48,001 - RM72,000",110000
KOTA KINABALU API API,PROTON,2019,108,0.048," RM48,001 - RM72,000",38000
"PENANG, TIMES SQUARE",PERODUA,2019,84,0.0458," RM48,001 - RM72,000",40000
KROKOP ,PERODUA,2019,108,0.0508," RM24,001 - RM48,000",23000
"JLN MASJID LAMA, SARIKEI         ",NISSAN,2018,108,0.04," RM72,001 - RM96,000",102000
MELAKA TMR1,HONDA,2019,108,0.0396," Above RM120,000    ",133600
"L. THEAN TEIK,AYER ITAM     ",PROTON,2019,84,0.0454," RM48,001 - RM72,000",41500
PANDAN PERDANA BRANCH,PERODUA,2019,108,0.0485," RM24,001 - RM48,000",50000
DAMANSARA UTAMA BRANCH,PERODUA,2019,108,0.0421," RM24,001 - RM48,000",60300
DAMANSARA UTAMA BRANCH,PERODUA,2019,108,0.042," RM24,001 - RM48,000",67600
KUCHING RH PLAZA,PROTON,2019,108,0.0487, Undisclosed        ,39000
TAIPING BRANCH,NISSAN,2019,108,0.0399," RM24,001 - RM48,000",125000
KOTA KINABALU API API,PERODUA,2019,84,0.0459," RM48,001 - RM72,000",34000
SS2 PJ,PERODUA,2019,108,0.0478," Above RM120,000    ",52800
BATU BERENDAM,PERODUA,2019,108,0.0507," RM18,001 - RM24,000",38900
"JALAN BESERAH, KUANTAN   ",PERODUA,2019,84,0.0455," RM24,001 - RM48,000",47400
BATU PAHAT BRANCH,PERODUA,2019,84,0.0453, Undisclosed        ,36000
TELUK INTAN BRANCH,HONDA,2019,84,0.0388," RM48,001 - RM72,000",100000
"TAMAN NUSA BESTARI JAYA, JB BRANCH",FORD,2018,108,0.0402," RM72,001 - RM96,000",115700
GUNUNG RAPAT,PERODUA,2019,84,0.0473," RM24,001 - RM48,000",32000
IPOH GARDEN BRANCH,NISSAN,2019,108,0.0397," RM72,001 - RM96,000",50000
"TAMAN SRI SINAR, SEGAMBUT BRANCH",TOYOTA,2019,108,0.0391," RM48,001 - RM72,000",78000
TAMAN SRI TEBRAU,TOYOTA,2019,60,0.0399," RM96,001 - RM120,000",60000
"PUSAT DAGANGAN BAKRI,MUAR",PERODUA,2019,84,0.0495," RM48,001 - RM72,000",28000
TAMAN SRI TEBRAU,PERODUA,2019,84,0.0486, Undisclosed        ,37000
"TAMAN SETIA TROPIKA, JOHOR",PERODUA,2019,108,0.0468," RM48,001 - RM72,000",39000
SS2 PJ,HONDA,2019,108,0.0399," RM48,001 - RM72,000",64000
"JLN MASJID LAMA, SARIKEI         ",PERODUA,2019,60,0.0462," RM48,001 - RM72,000",29000
KL MAIN (EON BUILDING),VOLKSWAGEN,2019,108,0.0338," RM48,001 - RM72,000",154000
TAMAN PELANGI BRANCH,FORD,2019,108,0.0397," RM96,001 - RM120,000",185000
BINTANGOR BRANCH,PROTON,2019,84,0.0458," RM24,001 - RM48,000",35000
PUCHONG JAYA,HONDA,2019,108,0.0391," RM48,001 - RM72,000",110000
TAMAN SRI TEBRAU,PROTON,2019,108,0.0479," RM48,001 - RM72,000",36900
KOTA KINABALU API API,PROTON,2019,108,0.048," RM72,001 - RM96,000",37500
SEREMBAN 2,NISSAN,2019,108,0.0399," RM96,001 - RM120,000",127000
"TAMAN SEGAR, CHERAS BRANCH",PERODUA,2019,108,0.0485," RM12,001 - RM18,000",43300
"J.SONG THIAN CHEOK,KUCHING       ",PERODUA,2019,108,0.0415," RM24,001 - RM48,000",69000
KL MAIN (EON BUILDING),PERODUA,2019,108,0.0418," RM72,001 - RM96,000",72400
LABUAN BRANCH,TOYOTA,2018,108,0.042, Undisclosed        ,62000
"T.NIAGA JAYA,BKT MERTAJAM   ",PERODUA,2019,108,0.0467," RM24,001 - RM48,000",49900
PUBLIKA SOLARIS BRANCH,NISSAN,2018,108,0.0401," Above RM120,000    ",132000
TAMAN SRI TEBRAU,PERODUA,2019,84,0.0467," RM72,001 - RM96,000",43300
DESA CEMERLANG,TOYOTA,2019,84,0.0393," RM48,001 - RM72,000",83700
"CHENG, MELAKA",PERODUA,2019,60,0.0406," Above RM120,000    ",55000
SENAWANG,PERODUA,2019,60,0.0462," RM48,001 - RM72,000",35000
BATU PAHAT BRANCH,PERODUA,2019,108,0.0475," RM18,001 - RM24,000",31000
"JALAN BESERAH, KUANTAN   ",PERODUA,2019,60,0.0415," RM48,001 - RM72,000",50000
TAMPOI,TOYOTA,2019,108,0.0406," RM48,001 - RM72,000",77900
TAMAN ABAD,PERODUA,2019,60,0.0417, Undisclosed        ,45000
"CHENG, MELAKA",PROTON,2019,108,0.0404," RM48,001 - RM72,000",92000
SERENDAH,TOYOTA,2019,60,0.0396," RM18,001 - RM24,000",60000
PUCHONG JAYA,PROTON,2019,60,0.047," RM48,001 - RM72,000",28000
DESA CEMERLANG,TOYOTA,2019,72,0.0395," RM24,001 - RM48,000",50000
TAMAN SRI TEBRAU,HONDA,2019,108,0.0394," RM48,001 - RM72,000",106000
LEGENDA HEIGHTS,NISSAN,2019,60,0.0384," RM48,001 - RM72,000",100000
TAMAN SRI TEBRAU,TOYOTA,2019,108,0.0403," RM48,001 - RM72,000",77000
PUCHONG JAYA,PROTON,2019,48,0.0451," Above RM120,000    ",45000
KOTA KINABALU PANTAI,TOYOTA,2019,108,0.0405," Above RM120,000    ",90000
SEREMBAN 2,HONDA,2019,108,0.0403," RM48,001 - RM72,000",70200
TAWAU BRANCH,PERODUA,2019,84,0.047," RM24,001 - RM48,000",25300
PUCHONG JAYA,NISSAN,2018,108,0.0404," RM72,001 - RM96,000",97000
JELUTONG,TOYOTA,2019,84,0.0391," RM12,001 - RM18,000",54000
KUALA TERENGGANU (2),PERODUA,2019,84,0.048," RM24,001 - RM48,000",48000
"MENJALARA, KUALA LUMPUR",PROTON,2019,36,0.054, Undisclosed        ,21000
JELUTONG,MERCEDES BENZ,2019,108,0.0389," Above RM120,000    ",150000
TANJONG MALIM,PERODUA,2019,108,0.047," RM24,001 - RM48,000",31200
MELAKA TMR1,MITSUBISHI,2018,108,0.0403," RM72,001 - RM96,000",111000
KANGAR BRANCH,PERODUA,2019,60,0.0478," RM12,001 - RM18,000",25000
KUALA PILAH BRANCH,PERODUA,2019,108,0.045," RM18,001 - RM24,000",50400
TAMAN SRI TEBRAU,PERODUA,2019,84,0.0455," RM24,001 - RM48,000",39300
"CHEW GEOK LIN SREET, SIBU BRANCH",TOYOTA,2018,60,0.0401," RM24,001 - RM48,000",50000
"JALAN BESAR, SERI KEMBANGAN BRANCH",PERODUA,2019,108,0.0489," RM24,001 - RM48,000",36000
KROKOP ,PROTON,2019,108,0.0469," RM24,001 - RM48,000",66600
BANDAR MAHKOTA CHERAS                   ,MAZDA,2019,84,0.039," RM72,001 - RM96,000",91000
SEREMBAN 2,HONDA,2019,108,0.0386," Above RM120,000    ",154400
BINTULU BRANCH,HONDA,2019,108,0.0403," RM48,001 - RM72,000",75200
GUNUNG RAPAT,PROTON,2019,108,0.0397," RM72,001 - RM96,000",114000
"JALAN BESERAH, KUANTAN   ",MAZDA,2018,108,0.0406," RM72,001 - RM96,000",110000
AUSTIN HEIGHTS BRANCH,TOYOTA,2019,108,0.0392," RM24,001 - RM48,000",71000
KAMPAR BRANCH,HONDA,2019,108,0.0401," RM48,001 - RM72,000",100000
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0494," RM48,001 - RM72,000",51400
KLANG BRANCH,PERODUA,2019,84,0.0475, Undisclosed        ,30000
"JALAN KAPAR, KLANG          ",HONDA,2019,60,0.0389," Above RM120,000    ",110000
PUCHONG JAYA,HONDA,2019,108,0.04," RM96,001 - RM120,000",105000
RAUB BRANCH,PERODUA,2019,108,0.0455," RM24,001 - RM48,000",51300
BINTULU BRANCH,PERODUA,2019,84,0.0418," RM9,000 And Below  ",51800
KROKOP ,MITSUBISHI,2018,108,0.0404," RM48,001 - RM72,000",101000
"JLN PASIR PUTEH, IPOH BRANCH",HONDA,2019,108,0.04," RM24,001 - RM48,000",101000
TAWAU BRANCH,MITSUBISHI,2019,108,0.0392," RM24,001 - RM48,000",76000
BANDAR SUNWAY BRANCH,PERODUA,2019,108,0.0479," RM24,001 - RM48,000",50200
"JALAN BESERAH, KUANTAN   ",HONDA,2019,108,0.0399," RM48,001 - RM72,000",120300
BANDAR SUNGAI LONG,MAZDA,2019,108,0.0385," RM48,001 - RM72,000",129000
SOUTHGATE BRANCH,PERODUA,2019,84,0.0464, Undisclosed        ,50000
KUALA SELANGOR BRANCH,PERODUA,2019,108,0.0484," RM48,001 - RM72,000",38900
ELECTRA HOUSE BRANCH,FORD,2019,84,0.0384," Above RM120,000    ",176000
TAMAN SRI TEBRAU,HONDA,2019,108,0.0388," RM96,001 - RM120,000",125300
SRI ANDALAS BRANCH,PERODUA,2019,60,0.046," RM24,001 - RM48,000",30000
"JALAN KAPAR, KLANG          ",PERODUA,2019,108,0.0494," RM48,001 - RM72,000",49200
DESA CEMERLANG,PROTON,2019,108,0.048," RM24,001 - RM48,000",37000
"JALAN BESERAH, KUANTAN   ",PROTON,2019,108,0.0399, Undisclosed        ,95000
KUCHING RH PLAZA,FORD,2019,108,0.04," RM48,001 - RM72,000",112500
KOTA KINABALU API API,PERODUA,2019,108,0.0504," RM48,001 - RM72,000",24000
"JALAN BESERAH, KUANTAN   ",PROTON,2019,108,0.049," RM18,001 - RM24,000",34900
TAMAN MIDAH,BMW,2019,60,0.0374," Above RM120,000    ",240000
AUTO CITY-JURU PRAI,PROTON,2019,60,0.0385," RM48,001 - RM72,000",80000
"J.SONG THIAN CHEOK,KUCHING       ",PROTON,2019,84,0.0451," RM48,001 - RM72,000",46000
"JALAN KAPAR, KLANG          ",PERODUA,2019,108,0.0466," RM24,001 - RM48,000",34600
"UKAY PERDANA, SELANGOR",SUBARU,2019,60,0.0388, Undisclosed        ,80000
TAMAN EQUINE BRANCH,PERODUA,2019,108,0.0464," RM24,001 - RM48,000",42000
SKUDAI BRANCH,TOYOTA,2019,108,0.0402," RM9,000 And Below  ",83700
GURUN,HONDA,2019,60,0.0387," RM48,001 - RM72,000",70000
SKUDAI BRANCH,NISSAN,2019,84,0.0397," RM48,001 - RM72,000",60000
SS2 PJ,BMW,2019,108,0.0387," Above RM120,000    ",276000
PUCHONG JAYA,HONDA,2019,84,0.0391," RM96,001 - RM120,000",100000
KOTA KINABALU API API,PROTON,2019,108,0.0492," RM24,001 - RM48,000",36000
KLANG BRANCH,PERODUA,2019,108,0.0469," RM24,001 - RM48,000",44700
BATU PAHAT BRANCH,PERODUA,2019,60,0.0446," RM24,001 - RM48,000",40000
"T.NIAGA JAYA,BKT MERTAJAM   ",PERODUA,2019,108,0.0492," RM24,001 - RM48,000",42500
KOTA KINABALU API API,PROTON,2019,108,0.0395," RM48,001 - RM72,000",101100
SEREMBAN 2,PERODUA,2019,108,0.0422," RM48,001 - RM72,000",71600
KL MAIN (EON BUILDING),HONDA,2019,108,0.0388," RM48,001 - RM72,000",121600
PUCHONG JAYA,PROTON,2019,108,0.048," RM24,001 - RM48,000",37000
RAWANG BRANCH,PERODUA,2019,108,0.0468," RM24,001 - RM48,000",36200
RAUB BRANCH,PERODUA,2019,108,0.0463," RM18,001 - RM24,000",38900
SIBU,NISSAN,2019,108,0.0412," Above RM120,000    ",68000
PUCHONG JAYA,NISSAN,2019,84,0.0385," Above RM120,000    ",107000
DAMANSARA CITY BRANCH,HONDA,2019,108,0.0396," RM24,001 - RM48,000",52900
"HUMPHREY STREET, SANDAKAN BRANCH",HONDA,2019,108,0.0396," RM24,001 - RM48,000",84500
TAMAN SRI TEBRAU,PERODUA,2019,108,0.042," RM48,001 - RM72,000",50000
KL MAIN (EON BUILDING),HONDA,2019,36,0.0447," RM24,001 - RM48,000",30000
KL MAIN (EON BUILDING),PERODUA,2019,108,0.046," RM24,001 - RM48,000",44400
"JALAN KAPAR, KLANG          ",PROTON,2018,84,0.0393," RM48,001 - RM72,000",87000
"JALAN BESERAH, KUANTAN   ",HONDA,2019,108,0.04," RM24,001 - RM48,000",97000
PENANG BRANCH,PROTON,2019,84,0.0394," Above RM120,000    ",102000
TAMAN JOHOR JAYA BRANCH,NISSAN,2019,108,0.0399," RM48,001 - RM72,000",130000
KUCHING RH PLAZA,MAZDA,2018,60,0.04," Above RM120,000    ",75000
"KAJANG, SELANGOR             ",PROTON,2018,108,0.0512," RM24,001 - RM48,000",35600
PUCHONG JAYA,SUBARU,2019,60,0.0382," Above RM120,000    ",95000
KOTA KINABALU API API,PERODUA,2019,108,0.0493," RM48,001 - RM72,000",36300
